AssemblyAccession	AssemblyName	Organism	SpeciesTaxid	BioSampleAccn	ContigN50	Coverage	Strain	Pathovar	Owner	Link
GCF_040202695.1	ASM4020269v1	Xanthomonas hortorum pv. hederae (g-proteobacteria)	56454	SAMN39911805	34263	167	WHRI 7747	hederae	University of Exeter	991976
GCF_040202755.1	ASM4020275v1	Xanthomonas hortorum pv. hederae (g-proteobacteria)	56454	SAMN39911786	37720	180	WHRI 8090	hederae	University of Exeter	991976
GCF_040202765.1	ASM4020276v1	Xanthomonas hortorum pv. hederae (g-proteobacteria)	56454	SAMN39911787	37779	189	WHRI 8097	hederae	University of Exeter	991976
GCF_040202795.2	ASM4020279v2	Xanthomonas oryzae pv. oryzae (g-proteobacteria)	347	SAMN40354541	4995842	300	WHRI 5233	oryzae	University of Exeter	991976
GCF_040202805.1	ASM4020280v1	Xanthomonas hortorum (g-proteobacteria)	56454	SAMN40354540	53347	191	WHRI 3810A		University of Exeter	991976
GCF_040202825.1	ASM4020282v1	Xanthomonas hortorum (g-proteobacteria)	56454	SAMN40354565	35547	185	WHRI 7742		University of Exeter	991976
GCF_040202855.1	ASM4020285v1	Xanthomonas citri pv. citri (g-proteobacteria)	346	SAMN40354539	205368	186	WHRI 10264	citri	University of Exeter	991976
GCF_040202875.1	ASM4020287v1	Xanthomonas sp. WHRI 10204 (g-proteobacteria)	3161562	SAMN40300951	333618	175	WHRI 10204		University of Exeter	991976
GCF_040202885.1	ASM4020288v1	Xanthomonas sp. WHRI 1810A (g-proteobacteria)	3161565	SAMN40300954	190676	184	WHRI 1810A		University of Exeter	991976
GCF_040202935.2	ASM4020293v2	Xanthomonas citri pv. malvacearum (g-proteobacteria)	346	SAMN40354537	5254592	300	WHRI 10262	malvacearum	University of Exeter	991976
GCF_040202945.2	ASM4020294v2	Xanthomonas citri pv. fuscans (g-proteobacteria)	346	SAMN40354538	5047948	300	WHRI 10263	fuscans	University of Exeter	991976
GCF_040202995.2	NCPPB381v2_ONT	Xanthomonas citri pv. fuscans (g-proteobacteria)	346	SAMN40354536	5090887	300	WHRI 10261	fuscans	University of Exeter	991976
GCF_040203025.1	ASM4020302v1	Xanthomonas hortorum pv. hederae (g-proteobacteria)	56454	SAMN39911806	36991	188	WHRI 7219	hederae	University of Exeter	991976
GCF_040203035.1	ASM4020303v1	Xanthomonas hortorum pv. hederae (g-proteobacteria)	56454	SAMN39911807	41129	195	WHRI 7204	hederae	University of Exeter	991976
GCF_040203075.1	ASM4020307v1	Xanthomonas hortorum (g-proteobacteria)	56454	SAMN40354560	56114	194	WHRI 6229A		University of Exeter	991976
GCF_040203095.1	ASM4020309v1	Xanthomonas hortorum pv. hederae (g-proteobacteria)	56454	SAMN39911792	37147	190	WHRI 7720	hederae	University of Exeter	991976
GCF_040203115.2	ASM4020311v2	Xanthomonas sp. WHRI 7065 (g-proteobacteria)	3161569	SAMN40354564	5031220	300	WHRI 7065		University of Exeter	991976
GCF_040203125.2	WHRI64Av2_ONT	Xanthomonas dyei (g-proteobacteria)	743699	SAMN40354561	5252538	300	WHRI 64A		University of Exeter	991976
GCF_040203135.1	ASM4020313v1	Xanthomonas arboricola (g-proteobacteria)	56448	SAMN40354562	220161	168	WHRI 7004		University of Exeter	991976
GCF_040203145.2	ASM4020314v2	Xanthomonas hortorum pv. hederae (g-proteobacteria)	56454	SAMN39911791	5733109	300	WHRI 7714	hederae	University of Exeter	991976
GCF_040203165.1	ASM4020316v1	Xanthomonas hortorum pv. hederae (g-proteobacteria)	56454	SAMN39911785	35843	190	WHRI 7185	hederae	University of Exeter	991976
GCF_040203315.1	ASM4020331v1	Xanthomonas sp. WHRI 8393 (g-proteobacteria)	3161574	SAMN40354570	888300	185	WHRI 8393		University of Exeter	991976
